ENCODED_MCT,dtw_cluster,HPSN_MCT_ZCD_NM
33E9701118,1,한식-단품요리일반
33EA4BF6E9,2,한식-육류/고기
33EF2536AD,1,한식-육류/고기
33FFBE73C4,0,한식-해물/생선
34202B73D6,1,축산물
3456938AFA,1,커피전문점
34573ADA88,2,식료품
3466CE84BF,0,한식-해물/생선
346EB91DC6,2,한식-육류/고기
3478DD65AA,1,축산물
3481C0108F,1,일식-참치회
348CC434D7,0,농산물
349995B62A,1,포장마차
34ADC7D5B3,1,카페
34CF430710,3,백반/가정식
34F9A062DD,1,한식-해물/생선
350FB4A18B,3,주류
3521453C6F,1,축산물
352569F469,3,카페
3530EB5DBA,0,한식-육류/고기
3531297CCD,2,포장마차
3556A9EA7B,1,룸살롱/단란주점
355A49D07D,3,베이커리
3573438877,3,이자카야
3574088A21,0,식료품
358F65FE30,1,일반 유흥주점
3593B2D487,2,카페
359DA6198A,2,한식-육류/고기
35A4AA3FB1,1,베이커리
35A9CD5DCA,2,한식-국수/만두
35F921EEEC,0,한식-단품요리일반
360AF1A8EC,1,한식-국수/만두
360B6BCFC1,0,치킨
360DDB462A,0,일식당
361EC9A5E8,1,양식
362A12ACAB,0,양식
3632A29DDA,1,백반/가정식
36348ED941,3,한식-단품요리일반
365914E11C,1,카페
36A2BCEFD8,2,주류
36A38785F3,1,분식
36ABF21B6F,0,요리주점
36BADF35EC,0,일식당
36BBE40E4D,0,백반/가정식
36CF6C8B70,1,베이커리
36D30C9B49,2,한식-육류/고기
36E3A686C1,1,카페
36E8832157,2,한식-국수/만두
36FA50BD7D,3,카페
37075F1B6D,3,한식-육류/고기
370B4F40C3,2,담배
373FC35FF2,2,분식
3751A3FD2E,1,중식당
376525721B,0,포장마차
376A5D3F6B,0,치킨
377472828B,0,포장마차
378316C068,0,호프/맥주
378C662D8E,3,카페
37AA28CAF8,1,카페
37AA4DBA89,3,양식
37B095C0EA,2,양식
37BCC1D215,1,백반/가정식
37C22962DB,2,커피전문점
37EDF0B2C1,1,이자카야
37FE3D6CC0,2,아이스크림/빙수
37FEBDD1C1,1,호프/맥주
3816AE5158,1,한식-해물/생선
38277AF289,1,축산물
382A324F7A,1,떡/한과 제조
383481B7AC,0,카페
383948C8CC,2,일식당
3842954B95,2,백반/가정식
3845CA9FE8,1,축산물
3849F9A089,3,한식-육류/고기
384FAF740C,3,카페
38537E4B84,0,분식
385823BD41,2,한식-단품요리일반
386397E23E,1,축산물
3864418FCC,0,백반/가정식
387BDBCD80,1,카페
387CE6C86C,2,한식-육류/고기
389E239904,0,기사식당
389F10CE1E,2,호프/맥주
38BDC5B4AE,2,중식당
38C18AF0CF,2,중식당
38D9B1B96A,2,한식-육류/고기
38EDE3F91C,3,피자
391836F1E0,3,카페
39255E94C6,0,축산물
39386D0931,1,한식-단품요리일반
394824E6A3,2,농산물
39624DF65A,1,한식-단품요리일반
397AF59B8B,0,양식
3991680872,3,한식-단품요리일반
39975534D9,3,도너츠
39A0648E6F,0,꼬치구이
39ADC0C466,0,일식-참치회
39C80568CC,3,한식-육류/고기
39D9285E8D,2,한식-육류/고기
39E9AADD30,1,치킨
3A07D1755D,3,호프/맥주
3A0FA79FF3,2,이자카야
3A286DF61F,0,치킨
3A2AB3FD4F,0,축산물
3A52550A64,2,한식-육류/고기
3A52CE5658,2,한식-육류/고기
3A770A3C62,0,한식-육류/고기
3A81FE047A,3,축산물
3A8F8A6B41,0,축산물
3AA1678CDE,2,한식-육류/고기
3AAA1F7B5B,0,한식-육류/고기
3AB4FC1262,0,샌드위치/토스트
3AC0517B5B,3,기타세계요리
3AD2A5FE6A,2,백반/가정식
3ADF083472,0,백반/가정식
3AE0B97C20,0,한식-육류/고기
3AE3E04CCF,2,주스
3AE8B97E90,0,카페
3AF3906E1E,2,카페
3B0E5FAA4D,0,한식뷔페
3B0F367222,2,치킨
3B10BE8CBB,3,축산물
3B2E13DA95,2,한식-단품요리일반
3B463692E1,1,한식-육류/고기
3B4CB64E6A,3,햄버거
3B5C32604B,1,한식-해물/생선
3B758AC2A1,1,분식
3B8E59372C,0,식료품
3BB8C1A3AD,0,한식-육류/고기
3BCE6D8224,0,호프/맥주
3BD38FB889,0,한식-국수/만두
3C16CE8803,1,백반/가정식
3C470EF2B3,2,일식-참치회
3C4FAA53F0,2,한식-육류/고기
3C54A75A81,3,한식-해물/생선
3C57E8E398,3,축산물
3C5DFF3840,2,분식
3C6D370558,1,피자
3C76B0425D,2,한식-단품요리일반
3C9076A1D4,2,이자카야
3C918D8F6A,2,한식-찌개/전골
3C92DED4C1,2,한식-육류/고기
3C97811992,0,치킨
3C9CFC0B9F,1,축산물
3CAACEBFFD,1,백반/가정식
3CBCDB9525,1,백반/가정식
3CBD6CE416,3,카페
3CD5747A9B,2,샌드위치/토스트
3CFB121A76,3,청과물
3D05D0CBE9,0,한식-육류/고기
3D35397FAB,2,건강식품
3D432C28C3,2,백반/가정식
3D4F4809F0,1,일식당
3D56F4D9D7,2,백반/가정식
3D65A21626,3,커피전문점
3D7A63FFA7,0,양식
3D7F3820C1,0,한식-국밥/설렁탕
3D85779307,2,한식-육류/고기
3D8F0EC508,3,한식-육류/고기
3D972997F9,2,백반/가정식
3DB47F6D25,0,카페
3DD6585AD5,1,한식-육류/고기
3DDD63B1FA,1,카페
3DE26BC841,1,치킨
3DE56E2069,0,분식
3DE5786D97,3,카페
3DEF9DCDB9,2,분식
3DFABAA899,1,축산물
3E09B1E315,1,한식-육류/고기
3E2F41A5CB,2,한식-단품요리일반
3E35A71757,1,치킨
3E36C045C0,1,축산물
3E5737823F,3,와인바
3E61C339E2,1,축산물
3E65F94B3C,2,요리주점
3E6DB9DC69,3,한식-육류/고기
3E82760740,2,호프/맥주
3E96264C22,2,한식-찌개/전골
3EA2263A90,1,한식-육류/고기
3EB675E82D,1,분식
3EBB8FF3EB,1,와인바
3EC80135EF,0,한식-육류/고기
3EDB2D7A36,2,포장마차
3F033E596C,3,베이커리
3F14DF48F3,1,일식당
3F320BF290,2,한식-국수/만두
3F3922C8C3,2,분식
3F3F64EAED,0,식료품
3F53A733C8,1,베이커리
3F6CA06921,2,한식-단품요리일반
3F9407A8C2,0,카페
3F995F0EF7,0,식료품
3FD4A26C54,3,아이스크림/빙수
3FE023E09E,3,카페
3FE6E9531A,0,축산물
3FEABA501A,3,반찬
3FEEF8EC29,1,카페
40057A0E5A,2,양식
400C105927,1,요리주점
4011B78273,2,포장마차
4018B532A8,2,카페
401DA3A519,2,한식-육류/고기
402132957B,3,분식
40213576B3,1,식료품
402A6EA562,2,베이커리
404C43C6FA,3,양식
40555676A3,3,한식-육류/고기
406403403D,3,한식-단품요리일반
4067FB5604,1,백반/가정식
4069628130,0,축산물
4074003379,3,베이커리
4076B62091,3,치킨
407EA64E55,2,한식-육류/고기
4080EC9ECB,0,한식-육류/고기
40876D8589,3,카페
408A79D8E5,0,한식-육류/고기
409D0DA708,2,식료품
40A4DCBA7F,1,한식-감자탕
40AA7DDA7E,2,백반/가정식
40B3115ED5,1,축산물
40C78A09A2,0,축산물
40D0F833AA,1,중식당
40F6DE923B,0,치킨
40F82EA1A1,0,일식당
40FF885FCA,1,농산물
4117EDDE9C,1,축산물
4118B90D6E,0,백반/가정식
41405E4F25,1,백반/가정식
416F075512,3,한식-육류/고기
4182680D90,3,베이커리
41865131B6,2,분식
4187D0B073,3,일식당
41A48AF8FE,3,커피전문점
41B1FC479A,1,카페
41BCC06E83,1,한식-육류/고기
41CB64C3C9,0,식료품
41CD6D7430,1,한식-육류/고기
41D2AB65FB,2,일식-샤브샤브
41D474F092,1,베이커리
41E88640AD,2,한식-육류/고기
41FCF57F43,0,카페
42028E39B5,2,한식-해물/생선
4206032C42,3,한식-해물/생선
4207B38494,0,백반/가정식
4208C4C0A7,2,식품 제조
420900C565,0,식료품
420DCCAD41,1,한식-국밥/설렁탕
422418BBDD,0,베이커리
422F127F2C,2,치킨
42326C1AF5,0,중식당
42334BE576,1,양식
424AAC4582,0,축산물
424ABA9D67,2,커피전문점
4251F43180,1,요리주점
425547857A,1,한식-육류/고기
4257D2CFAA,3,한식-단품요리일반
42591F7AE9,3,축산물
4261C5A667,2,카페
426E9843AA,2,피자
4281813D4D,0,한식-육류/고기
428FFBD76A,2,카페
4.30E+13,0,중식당
42C1209E01,0,한식-국수/만두
42F4442B86,3,동남아/인도음식
43195F0299,1,백반/가정식
431B6E7893,0,중식당
4321CFDE5D,3,한식-단품요리일반
43343735BB,0,식료품
43376C6456,2,꼬치구이
43397BFE31,3,한식-육류/고기
433F5BCED5,3,식료품
434671439E,0,카페
4349A8302A,2,햄버거
434F31D9B6,2,한식-육류/고기
438D6C2A0C,2,한식-단품요리일반
439035A9EB,2,한식-단품요리일반
43A4217D54,2,양식
43B23BDD6B,2,중식당
43B89D891C,3,카페
43B9C1697C,0,카페
43C7FF8A46,0,한식-해물/생선
43CB66F206,3,청과물
43CE48A1CD,1,분식
43F46BD63A,1,한식-육류/고기
44150C17AB,1,한식-단품요리일반
442C98A349,1,한식-단품요리일반
44410D0CB8,1,축산물
44469393FD,1,일반 유흥주점
44544F2DCE,3,백반/가정식
4467413444,3,백반/가정식
4482179D1C,3,백반/가정식
448BDB28BD,3,한식-단품요리일반
44A595A22B,3,한식뷔페
44A9291640,2,커피전문점
44CA6EDFE3,1,축산물
44EA134147,0,한식-육류/고기
44EEDD0526,2,아이스크림/빙수
451CF53207,1,한식-국수/만두
452A2E0AD8,3,한식-육류/고기
452E7CAA14,1,일식당
453BD22A9C,1,백반/가정식
4546CB7E88,2,요리주점
4554B97419,3,포장마차
45653EE08D,1,베이커리
456FAA8479,1,한식-육류/고기
45748D67A8,2,샌드위치/토스트
458600B5F4,2,일식당
45AFE0281E,1,아이스크림/빙수
45B5488EF8,0,요리주점
45B86F632F,2,베이커리
45CCE83EBB,2,중식당
45D355879A,3,일식당
45E1109CF3,2,한식-해물/생선
45E84CAA54,3,한식-단품요리일반
45F19425EF,2,카페
45FEE5DBC4,2,카페
460FC7898C,2,햄버거
462A0062E2,0,중식당
4636AC6E2B,1,축산물
46401389CA,3,카페
46409ECD04,3,와인바
468982150B,1,백반/가정식
46AC67DA98,2,요리주점
46AEC08B5A,2,분식
46B7CF90B2,3,한식-단품요리일반
46B8E61C45,1,식품 제조
46D50AE96B,2,백반/가정식
46E766EB0A,2,양식
46EE1185BE,0,백반/가정식
46F56D0D63,0,커피전문점
46F5D36BCA,2,한식-국밥/설렁탕
471640408B,0,한식-육류/고기
47170099B7,2,반찬
474B033710,1,커피전문점
475ED601EB,1,커피전문점
47654FAE2A,2,식품 제조
4774C089CA,3,백반/가정식
479160DAA8,0,한식-육류/고기
4795D97F2B,1,인삼제품
47AACE684D,0,중식당
47B04D5AF9,1,양식
47C597A064,1,주류
47C8C40086,2,양식
47C9895708,0,샌드위치/토스트
47DF527035,1,한식-단품요리일반
47ED27ED3A,0,한식-육류/고기
4828F279E2,2,분식
485B0A3591,1,한식-육류/고기
48731DE9B9,1,치킨
487926887C,3,양식
4888E1AE6C,3,요리주점
48A2E5A7D3,2,축산물
48A320941A,3,한식-육류/고기
48A60B81B9,2,일식-덮밥/돈가스
48B6DB988C,0,백반/가정식
48BCC595D9,0,축산물
48C1483437,1,카페
48D0F061EB,1,카페
48DBF4F872,3,요리주점
48E55F5235,1,피자
48F3AA695A,1,한식-육류/고기
4912143622,3,한식-육류/고기
491274748A,2,한식-단품요리일반
4916AD88E4,1,동남아/인도음식
492180DBE3,0,일식당
494DCC4C5F,2,피자
4972FC2750,1,요리주점
498B5C1AB7,2,일식-덮밥/돈가스
4996910EA9,1,백반/가정식
499F119A8A,1,커피전문점
499F3ECFD7,2,한식-단품요리일반
49B504B02C,3,분식
49C5A0B4DF,0,한식-육류/고기
49D7D6044C,3,일식-우동/소바/라면
49DD179441,1,한식-육류/고기
49E147A359,1,떡/한과 제조
49F556B92E,1,한식-단품요리일반
4A01501171,3,커피전문점
4A2D564D9B,0,룸살롱/단란주점
4A347AF852,1,베이커리
4A3538DDC3,3,커피전문점
4A42915A44,2,커피전문점
4A46FE0E71,2,양식
4A98122A06,2,요리주점
4AB5E20EE4,2,카페
4ACBCC7739,2,한식-단품요리일반
4AD953D850,3,커피전문점
4B05972847,3,양식
4B06EC5432,2,농산물
4B2AF6047C,2,한식-육류/고기
4B32EF06FA,3,백반/가정식
4B3D70F3C7,2,떡/한과 제조
4B5922FA5E,1,백반/가정식
4B5CD08E49,2,치킨
4BA019BAEF,3,식료품
4BA62EBC13,2,카페
4BB1D5083E,1,청과물
4BBF641656,3,카페
4BC0ED1667,3,일식당
4BC6588772,0,일식당
4BCCEFE9EE,1,중식-훠궈/마라탕
4BF0C08F5F,1,카페
4BF4E76EB1,1,축산물
4BF6B1EEF7,1,호프/맥주
4C021A3A21,1,한식-해물/생선
4C102E76F9,2,한식-단품요리일반
4C4C19D23F,1,축산물
4C54436E59,1,한식-단품요리일반
4C60EE6CA4,3,카페
4C8487EFAE,1,카페
4C89EB1228,2,치킨
4C8A0648B0,3,기타세계요리
4C9BC35AD4,3,샌드위치/토스트
4C9FAA2C92,0,한식-단품요리일반
4CAFD6C3F4,1,한식-육류/고기
4CC519E81E,2,백반/가정식
4CD0E0A0DC,1,아이스크림/빙수
4CE2C74657,0,일식당
4CE4BD3DBE,1,중식당
4CE99C7D02,1,치킨
4CE9DA1D26,3,카페
4CFC31C924,1,와인샵
4D039EA8B7,0,축산물
4D45E10163,3,축산물
4D57A4C1A5,1,축산물
4D639B5299,0,양식
4D712FD5CB,1,한식-단품요리일반
4D789D747A,0,한식-육류/고기
4D78A9732C,0,축산물
4D95F03916,0,한식-육류/고기
4DAE33EA04,1,건강식품
4DC1192CB7,1,축산물
4DD8AC6665,1,백반/가정식
4DE273254C,1,축산물
4DEDE7CD03,1,한식-육류/고기
4E0A2F790E,1,한식-육류/고기
4E34EC1776,2,떡/한과 제조
4E390D279A,0,베이커리
4E44FC37D5,1,한식-육류/고기
4E4F418B9C,2,일식당
4E4FF6A584,2,한식-국밥/설렁탕
4E530BFB48,2,호프/맥주
4E56424369,3,호프/맥주
4E5DEDBDDC,2,커피전문점
4E6576A551,1,일식당
4E8BDFA3D8,3,도시락
4E9408836B,0,식품 제조
4E94D459E2,2,한식-국수/만두
4EBEB61964,0,일식당
4ECBDBFE0C,2,일식-샤브샤브
4ED49525EB,1,한식-육류/고기
4EE6193540,3,커피전문점
4EE6AA4F0F,1,한식-육류/고기
4EE6D5E718,2,중식당
4EEF5997AF,0,한식-찌개/전골
4EF5BD22BD,3,양식
4EFDFC6E78,1,백반/가정식
4F0DB34622,0,분식
4F2296203F,3,축산물
4F294B4053,2,치킨
4F374EBA09,2,카페
4F4288168A,2,커피전문점
4F4CDEDF32,0,건강원
4F6533C9B9,3,분식
4F6748BD4E,1,한식-해물/생선
4F6821E9D7,2,일식당
4F68679BB6,2,커피전문점
4F7FF335EF,2,치킨
4F91DC078E,2,커피전문점
4F98A3CB2D,0,한식-육류/고기
4F98FE8D27,0,한식-단품요리일반
4F9BAC95BF,1,한식-해물/생선
4FAC32FBDC,0,백반/가정식
4FAFEFC9D2,0,요리주점
4FD2CD656B,2,베이커리
4FD8DEB849,1,식료품
4FD8F44568,0,한식-해물/생선
4FECCA34D6,2,중식당
4FF1B07188,3,백반/가정식
4FF5BC13EF,1,백반/가정식
4FF64DE415,2,한식-육류/고기
4FFDE025F1,1,건강식품
500A36AF3C,1,한식-육류/고기
5017C6924A,0,피자
5019B0EA07,0,백반/가정식
501AEDAE3D,1,분식
502658D9C9,2,카페
502C539374,0,카페
50431C729D,2,한식-해물/생선
505C1CCC24,2,일식당
5.08E+73,3,일식당
50832A2B37,1,한식-찌개/전골
5088093AFC,3,한식-단품요리일반
508830F630,1,축산물
5095698AC0,3,양식
5099D60AF1,0,한식-국밥/설렁탕
50A2E31DF5,2,카페
50A34DE644,0,커피전문점
50BB2EA330,2,커피전문점
50BD14C2F8,1,백반/가정식
50BD9E37F2,3,베이커리
50CA101871,1,마카롱
50CCBE90E1,0,치킨
50D6E3DB76,2,일식당
50E5564482,1,백반/가정식
50FB1F6C45,2,농산물
50FC72558D,0,카페
5.10E+09,1,식료품
510366DAA4,3,백반/가정식
5106B234F1,1,백반/가정식
51114863DE,1,축산물
5113D031FD,1,커피전문점
5126178CAE,2,떡/한과
513A8B50FC,1,축산물
51469424CB,0,차
51546F4B94,0,한식-육류/고기
5159C627D2,1,분식
515A6733F3,2,축산물
5183626392,2,한식-찌개/전골
519381C21B,2,양식
5.19E+07,0,백반/가정식
5196197266,1,한식-육류/고기
519942A2F8,1,축산물
51AD83F917,1,한식-해물/생선
51BEB72D68,2,백반/가정식
51CD26A022,3,한식-육류/고기
51D51815C2,2,백반/가정식
51DB10788F,2,햄버거
51E712A1A7,3,한식-육류/고기
520511D96C,1,한식-육류/고기
5217838A3C,1,포장마차
521E3795E3,0,백반/가정식
5257313CF4,2,떡/한과
525D3B1AD2,2,축산물
5266257AE8,2,분식
52BE681A0A,2,일식-우동/소바/라면
52E7464F5E,3,호프/맥주
52F11D88C1,3,한식-해물/생선
52F80BA32C,0,베이커리
52FFF088FE,0,한식-해물/생선
5322300A3B,1,한식-국밥/설렁탕
534FC7A474,2,호프/맥주
535999101E,3,커피전문점
53679A769E,0,양식
536CC51122,1,중식당
537AB5F50E,2,양식
537EED164B,0,백반/가정식
5386608DEC,0,백반/가정식
53893756B9,1,백반/가정식
5393B95278,1,한식-단품요리일반
53987F6D47,0,한식-육류/고기
53A8784B97,3,커피전문점
53CA4BAE0A,3,일식-덮밥/돈가스
53E08ECF72,2,백반/가정식
53F2CA13C6,3,이자카야
53F5775D15,0,한식-해물/생선
54048E2190,3,일식당
5417C5A2AE,0,축산물
5424DBE00D,1,농산물
543C4A9834,0,백반/가정식
543E9DF72E,2,백반/가정식
544E8A51CC,2,분식
54529B6426,1,치킨
54537D2AD9,0,베이커리
545BE56226,3,일식-덮밥/돈가스
5468EE06CF,3,중식당
549B0B52D3,1,청과물
54A86F9105,2,일식당
54BC20B0A0,3,양식
54DB8CEB48,3,베이커리
54EA8467D3,3,축산물
5507C4D8DB,0,축산물
5509AAD8EE,3,농산물
5529CDFCDF,2,민속주점
553B878E02,2,베이커리
554B8B39CF,3,농산물
557870DAE7,1,백반/가정식
557D0AECD2,0,분식
5595AE45A8,2,커피전문점
559A0E2C40,0,한식-육류/고기
55B4F11C0E,2,분식
55B960CBD0,1,한식-육류/고기
55CE7C8582,1,축산물
55D6CC671E,2,백반/가정식
55F3EC2326,0,양식
56072E2ED8,3,한식-육류/고기
560D700A0A,2,일식당
561E2A96EF,2,피자
562E873FFE,0,호프/맥주
5.64E+12,3,기타세계요리
5653B531F7,1,카페
565439335B,2,치킨
5654DA6B2C,2,샌드위치/토스트
56571ACABD,2,농산물
56637B5CFF,0,한식-육류/고기
566804A508,1,백반/가정식
56AB36BDAF,2,카페
56B02A07FC,2,한식-육류/고기
56BE624635,0,한식-단품요리일반
56CCDF6E4B,1,카페
56CE6776C6,0,구내식당/푸드코트
56D6494E4A,2,피자
56DDDE972B,2,농산물
56E1D6E430,2,한식-육류/고기
56E8BA3007,3,호프/맥주
56EE904EE0,3,백반/가정식
56F352C52C,1,베이커리
5712EA8578,2,일반 유흥주점
571F96C27E,2,분식
5725D7EE5E,2,한식-단품요리일반
572B665575,2,커피전문점
5746FB77CC,0,치킨
5755CB685C,2,양식
5779AEFA66,2,분식
577F82A787,1,축산물
5793537AB2,1,중식당
57A742D22B,1,백반/가정식
57AEEDF72B,2,베이커리
57B4E2F996,1,한식-육류/고기
57C7DFB21A,3,동남아/인도음식
57D0C5916A,1,양식
57D8D0DAEE,3,반찬
57DEE6D415,1,카페
57E5E99129,1,농산물
57ECFF0227,2,동남아/인도음식
57F39CB90C,2,한식-감자탕
5811A8E05B,2,한식-단품요리일반
58168DBBE0,1,일식-우동/소바/라면
582577A831,1,요리주점
5828134AC4,0,베이커리
582A075088,0,축산물
5840B960CE,2,치킨
5864A763E4,0,한식-단품요리일반
5866051D91,1,중식당
5890F473D8,3,백반/가정식
58A30B4F4D,3,치킨
58ABFB3565,0,분식
58B096EF00,2,축산물
58B1DEEE5D,3,카페
58B8C943BF,1,아이스크림/빙수
58BB43C891,2,식료품
58C2DD4547,1,카페
58D324F8BD,2,카페
58FE1BFE3D,2,햄버거
590A329DB9,0,한식-단품요리일반
591CBB3B43,2,카페
591FFE0261,0,한식-단품요리일반
593875841D,1,한식-단품요리일반
5946F40892,0,치킨
5960275B4D,3,이자카야
596D95834C,1,분식
5970C28B1D,2,마카롱
5974B075AD,2,카페
598ACA428F,1,축산물
598E46F283,2,커피전문점
5998DB8346,1,떡/한과 제조
59AA2F0CFE,0,한식-찌개/전골
59C69D9CD8,1,축산물
5A0D48A713,2,카페
5A13DDE2D6,2,한식-국수/만두
5A4AFCC360,3,백반/가정식
5A4B697AE7,2,한식-해물/생선
5A51AD1FF1,2,커피전문점
5A5B5CC478,3,카페
5A5EBCB3A8,1,일반 유흥주점
5A9FD5F5CD,1,분식
5AA50A5A64,0,일식당
5AD0940FDD,3,카페
5AE55ECD0E,2,아이스크림/빙수
5AE70815C9,1,식료품
5AEEA3B4EF,2,식료품
5AF3D76D12,2,한식-단품요리일반
5AF671B1BF,1,한식-국수/만두
5AFF1D97F2,3,한식-단품요리일반
5B0E07A8BA,1,카페
5B110F468D,0,커피전문점
5B1438B461,0,한식-국수/만두
5B15CE4AD1,2,한식-육류/고기
5B1F2A7BA9,2,커피전문점
5B2E4E2454,1,축산물
5B33B06965,1,농산물
5B3DE5F17F,2,한식-육류/고기
5B4244B007,1,분식
5B4D253AB9,1,양식
5B537AFFD8,1,축산물
5B5AE038F6,1,커피전문점
5B646D947B,0,식료품
5B86E12858,2,백반/가정식
5B875E9A9E,3,한식-육류/고기
5BAB073DB1,0,백반/가정식
5BB092A34C,2,베이커리
5BB5DF8D62,2,카페
5BC9440DAF,3,카페
5BE0890F4A,1,카페
5BE883AA16,0,축산물
5BF5A99836,2,분식
5BFB461F3A,3,커피전문점
5C14F5FBA3,1,피자
5C18E06E09,3,식료품
5C2ABD2879,3,한식-육류/고기
5C312171F4,2,양식
5C3A9D7C5A,3,한식-육류/고기
5C527FA137,2,치킨
5C57D59C97,2,한식-육류/고기
5C58B2EF46,0,식료품
5C599A6F56,1,한식-육류/고기
5C5F3498B3,0,동남아/인도음식
5C6A6CA90A,3,한식-육류/고기
5C86E37148,0,한식-단품요리일반
5CAFB11F16,1,일반 유흥주점
5D0C1CAA5E,0,분식
5D164CCB8F,1,일식당
5D173C6BD3,2,청과물
5D4A7C44B2,1,백반/가정식
5D4EDA13E3,2,한식-육류/고기
5D5111FAC3,3,한식-육류/고기
5D68AB9C70,2,한식-육류/고기
5D86802675,1,카페
5D90E2AA8B,2,동남아/인도음식
5D9E2372B7,1,한식-단품요리일반
5D9E5F8645,2,카페
5DA080BB02,0,한식-육류/고기
5DB407D5B6,2,중식당
5DC3FB1D5F,2,카페
5DD265DF51,1,중식당
5DEA8CA245,1,한식-감자탕
5DEC65272B,2,카페
5E180A9A93,2,아이스크림/빙수
5E30D7653F,0,커피전문점
5E5092A910,1,카페
5E6FE68BF5,1,축산물
5E86C12B37,3,축산물
5E8B3A9C0F,2,한식-육류/고기
5E93D0267B,3,양식
5EB844551A,0,카페
5ED1A1DEB4,2,한식-해물/생선
5ED6A6D25C,1,축산물
5EF2C0673B,1,식료품
5F0AAEF5DF,0,치킨
5F0B05E1D7,3,카페
5F2DDA0178,1,카페
5F35F67E3F,2,백반/가정식
5F4BD315F9,1,한식-육류/고기
5F4D724ED3,0,백반/가정식
5F4E878B3F,1,백반/가정식
5F641D5F4A,1,한식-해물/생선
5F6A947002,0,중식당
5F6C91EC8E,1,한식-단품요리일반
5F8D82CC87,1,한식-해물/생선
5FA82D7B59,0,차
5FAF6E0F7F,2,한식-단품요리일반
5FC828374B,2,한식-육류/고기
5FCE089938,0,커피전문점
5FE5C42B70,1,양식
5FE888BC65,3,백반/가정식
5FEF5885D9,2,한식-국밥/설렁탕
6010892CCE,1,카페
60334AB92C,0,커피전문점
605655C22D,0,한식-단품요리일반
607010FDDB,3,이자카야
609DC095EC,0,백반/가정식
60ABA7FA01,3,분식
60AD2EEEB8,3,축산물
60AF617267,0,한식-단품요리일반
61184A5430,2,한식-육류/고기
612C103359,3,베이커리
6138A3EEB7,1,요리주점
6139F1970B,2,한식-단품요리일반
613B8B6375,2,커피전문점
61472439B5,1,커피전문점
614B42817C,0,백반/가정식
61574AF3E1,2,카페
615A623A22,2,일식당
61811034C2,1,축산물
6186386DED,1,한식-국수/만두
61A3133822,1,카페
61A7EE0050,1,떡/한과 제조
61D516DBB4,0,와인바
61E9DEEBD7,0,축산물
62170CD834,1,축산물
622D27CE49,1,미곡상
6235F64612,2,한식-냉면
623E90D289,2,커피전문점
6242BB9BEB,2,한식-해물/생선
627F539A91,3,커피전문점
62968F5FF3,1,축산물
62A9B7888B,1,건강식품
62AC8476D3,1,건강원
62B867788E,1,햄버거
62DA6EB79A,1,한식-육류/고기
62DCAD38F6,1,카페
62E7A755DC,2,식료품
62EF38C706,1,카페
63064A8A5C,2,커피전문점
63135A8618,2,커피전문점
636D494093,3,백반/가정식
636DB3B918,1,백반/가정식
6375E191B5,0,치킨
6384E450BD,0,한식뷔페
6385DDECF1,1,양식
6387170291,3,동남아/인도음식
63AB211FC9,2,한식-해물/생선
63C63AF808,2,치킨
63C676EAE1,0,한식-국수/만두
63D56CEF99,1,한식-육류/고기
63DAE9B5FE,0,중식당
63F465C28C,2,백반/가정식
63F736E9EB,0,떡/한과
63FA0DEB58,1,치킨
6402B38CAE,2,축산물
640F63B1EB,0,이자카야
641883F244,0,한식-육류/고기
641DC575A8,3,백반/가정식
641F185DE4,3,백반/가정식
643B6CDCC2,1,건강원
64477AD191,2,커피전문점
644FD8375A,2,한식-냉면
645C99961F,1,한식-단품요리일반
64632B784A,3,백반/가정식
6466B7724E,2,한식-국수/만두
64687C0A87,0,양식
646D7BE313,0,한식-찌개/전골
64835E743B,0,한식-육류/고기
64A48DF745,2,양식
64AC3356A0,2,백반/가정식
64B27F3594,2,분식
64BF96D72B,1,양식
64DAA985AE,3,한식-국수/만두
64DD526761,2,이자카야
64E401B0CC,2,반찬
650886D9B9,3,테이크아웃커피
65199A38DE,1,포장마차
652AA8E8C5,2,카페
655851E372,2,카페
656E1E70AF,2,식료품
657E1184BB,1,축산물
65D2C9E1E4,0,분식
65D60A05BA,3,카페
65E5572C9F,0,한식-해물/생선
65E9AD1E06,1,한식-단품요리일반
65EB7F45A2,3,식료품
65EF268E18,3,한식-단품요리일반
661C7C734C,2,베이커리
6624D7D635,1,식료품
66317DF98C,1,주류
6634FE5F13,1,축산물
664477153F,2,백반/가정식
665886A952,0,백반/가정식
6667AD4338,0,한식-육류/고기
667E63F3BC,1,식료품
667F7D3E48,1,카페
668C9F56AA,1,와인바
66A39F4442,2,한식-육류/고기
66A3F67041,0,한식-단품요리일반
66BFBD2ADE,1,한식-단품요리일반
66CF03A8B9,0,한식-단품요리일반
66E5115662,0,축산물
66EE334562,2,한식-국수/만두
66FA72C189,1,백반/가정식
66FCF97ECE,0,이자카야
670C37D448,1,분식
671826BB1A,0,포장마차
67309EAD75,2,백반/가정식
673E2D3411,3,한식-국밥/설렁탕
674011F2F1,2,카페
6744E203FD,0,축산물
67551595FA,2,커피전문점
6779202960,1,카페
677AEC4179,2,요리주점
677DAF15F8,1,햄버거
6780FF33B7,3,한식-육류/고기
67950640CA,1,한식-육류/고기
679B13C3AD,1,일식당
67A793BE25,2,양식
67BEA11D33,3,커피전문점
67FCC5D980,0,백반/가정식
680E102527,2,피자
